id,instance_name,public_ip,private_ip,instance_type,instance_id,region,latency,project,platform,insert_time,role
1,GWN_MySQL_Statics_210128,35.160.234.72,11.0.206.142,r5.2xlarge,i-0732d66d9aa15f3a1,US West (Oregon),0,gwn,,2022-03-14 08:54:19,aws
2,GWN_MySQL_Basic_DNS_210608_Repl,52.24.56.176,11.0.206.138,m5.xlarge,i-016bc759cb6d188cd,US West (Oregon),0,gwn,,2022-03-14 08:54:19,aws
3,Online-GWN-US-Master-20210926,52.24.166.89,11.0.206.233,c5.xlarge,i-0d80644126d10ac88,US West (Oregon),0,gwn,,2022-03-17 09:17:34,web
4,Online-GWN-US-Slave-20210926,52.42.72.81,11.0.206.105,c5.xlarge,i-0efe7ec6811a7269b,US West (Oregon),0,gwn,,2022-03-17 09:17:34,web
5,Online-GWN-US-Admin-20210926,54.202.245.21,11.0.206.60,m5.xlarge,i-095539eca587bea43,US West (Oregon),0,gwn,,2022-03-17 09:17:34,web
6,MySQL_Basic_dns,3.122.80.49,11.0.206.19,m5.large,i-0acde933f73f27e7a,Europe (Frankfurt),0,gwn,,2022-03-14 08:54:19,aws
7,MySQL_Statistics_210317,3.121.75.18,11.0.206.126,m5.xlarge,i-0f51cb4ff07169678,Europe (Frankfurt),0,gwn,,2022-03-14 08:54:19,aws
8,Online-GWN-EU-Master-20210926,3.122.66.65,11.0.206.106,c5.xlarge,i-0baebd7fad6ef2860,Europe (Frankfurt),0,gwn,,2022-03-17 09:17:34,web
9,Online-GWN-EU-Slave-20210926,35.156.4.250,11.0.206.14,c5.xlarge,i-06facd0b8f8c2c15b,Europe (Frankfurt),0,gwn,,2022-03-17 09:17:34,web
10,Weather Master,207.246.67.26,,,,mia,0,other,,2022-03-14 08:54:19,vps
11,Weather slave,108.61.195.62,,,,sea,0,other,,2022-03-14 08:54:19,vps
12,UCM demo page and GSWave apns,45.32.120.90,,,,sgp,0,other,,2022-03-14 08:54:19,vps
13,GDMS Download server(us.download.gdms.cloud),144.202.94.88,,,,sea,0,other,,2022-03-14 08:54:19,vps
14,Weather Slave2,45.32.168.215,,,,mia,0,other,,2022-03-14 08:54:19,vps
15,Online_GDMS_TURN_Tokyo-20201202065446,45.63.126.246,,,,nrt,0,turn,,2022-03-14 08:54:19,vps
